berth,cargoVolume,Arrival,localVoyage,Departure,vesselName,Status
1,515,"Sun, 01 Oct 2023 17:30:00 GMT",1013W,"Mon, 02 Oct 2023 17:29:50 GMT",SINAR SOLO,On Time
2,21,"Sun, 01 Oct 2023 18:25:00 GMT",QB362,"Sun, 01 Oct 2023 19:25:03 GMT",SUMBER JAYA 22,On Time
2,296,"Sun, 01 Oct 2023 20:00:00 GMT",J061S,"Mon, 02 Oct 2023 10:00:06 GMT",MTT SIBU,On Time
3,320,"Sun, 01 Oct 2023 21:30:00 GMT",006W,"Mon, 02 Oct 2023 15:31:28 GMT",CAPE FELTON,On Time
4,799,"Mon, 02 Oct 2023 00:00:00 GMT",0PPG4W1MA,"Tue, 03 Oct 2023 13:59:59 GMT",CMA CGM MUSCA,On Time
5,22,"Mon, 02 Oct 2023 04:00:00 GMT",MB063,"Mon, 02 Oct 2023 05:00:01 GMT",CAPRICORN 57,On Time
6,39,"Mon, 02 Oct 2023 04:15:00 GMT",323,"Mon, 02 Oct 2023 06:15:17 GMT",MARCOPOLO 118,On Time
5,421,"Mon, 02 Oct 2023 05:17:00 GMT",,"Tue, 03 Oct 2023 01:17:05 GMT",GULF TBN 10,On Time
6,500,"Mon, 02 Oct 2023 06:59:00 GMT",161E,"Tue, 03 Oct 2023 06:59:11 GMT",EVER URANUS,On Time
2,355,"Mon, 02 Oct 2023 10:30:00 GMT",PS029,"Tue, 03 Oct 2023 06:31:37 GMT",MARCOPOLO 3022,On Time
7,485,"Mon, 02 Oct 2023 13:00:00 GMT",338N,"Tue, 03 Oct 2023 11:59:11 GMT",SEASPAN LUMACO,Delayed
8,528,"Mon, 02 Oct 2023 14:45:00 GMT",013S,"Tue, 03 Oct 2023 16:45:19 GMT",SINAR SIGLI,On Time
3,23,"Mon, 02 Oct 2023 15:35:00 GMT",RB700,"Mon, 02 Oct 2023 16:35:00 GMT",CAPRICORN 59,On Time
9,507,"Mon, 02 Oct 2023 15:52:00 GMT",028N,"Tue, 03 Oct 2023 15:52:01 GMT",SINAR SANUR,On Time
3,19,"Mon, 02 Oct 2023 17:00:00 GMT",0031S,"Mon, 02 Oct 2023 18:00:05 GMT",SELATAN DAMAI,On Time
1,59,"Mon, 02 Oct 2023 19:00:00 GMT",H3K01S,"Mon, 02 Oct 2023 22:00:07 GMT",INFINITI 5,On Time
3,488,"Mon, 02 Oct 2023 20:43:00 GMT",25071N,"Tue, 03 Oct 2023 21:43:56 GMT",MMSS 2507,On Time
10,239,"Mon, 02 Oct 2023 22:00:00 GMT",PS165,"Tue, 03 Oct 2023 12:01:25 GMT",MARCO POLO 108,On Time
1,300,"Tue, 03 Oct 2023 01:00:00 GMT",1557-016W,"Tue, 03 Oct 2023 17:00:58 GMT",EVER FAR,On Time
5,436,"Tue, 03 Oct 2023 01:17:05 GMT",0BDFME1MA,"Tue, 03 Oct 2023 21:16:49 GMT",CMA CGM ARKANSAS,Delayed
2,514,"Tue, 03 Oct 2023 06:31:37 GMT",795S,"Wed, 04 Oct 2023 06:31:18 GMT",SINAR BANDUNG,Delayed
6,193,"Tue, 03 Oct 2023 06:59:11 GMT",031N,"Tue, 03 Oct 2023 16:59:34 GMT",GANTA BHUM,Delayed
7,305,"Tue, 03 Oct 2023 11:59:11 GMT",83368S,"Wed, 04 Oct 2023 03:59:02 GMT",BATAMINDO V,Delayed
10,135,"Tue, 03 Oct 2023 12:01:25 GMT",,"Tue, 03 Oct 2023 19:01:53 GMT",SAWASDEE CHITTAGONG,Delayed
4,550,"Tue, 03 Oct 2023 13:59:59 GMT",338S,"Wed, 04 Oct 2023 14:14:53 GMT",MAERSK NACKA,Delayed
9,458,"Tue, 03 Oct 2023 15:52:01 GMT",820S,"Wed, 04 Oct 2023 13:52:13 GMT",SINAR BINTAN,Delayed
8,156,"Tue, 03 Oct 2023 16:45:19 GMT",S363N,"Wed, 04 Oct 2023 00:56:43 GMT",SUMBER JAYA 2515,Delayed
6,608,"Tue, 03 Oct 2023 16:59:34 GMT",1QY7KN1NC,"Wed, 04 Oct 2023 19:21:12 GMT",CMA CGM TARPON,Delayed
1,117,"Tue, 03 Oct 2023 17:00:58 GMT",,"Tue, 03 Oct 2023 23:01:22 GMT",CELANDINE,Delayed
10,42,"Tue, 03 Oct 2023 19:01:53 GMT",338E,"Tue, 03 Oct 2023 21:01:55 GMT",KOTA LAGU,Delayed
10,551,"Tue, 03 Oct 2023 21:01:55 GMT",014W,"Wed, 04 Oct 2023 22:09:06 GMT",KOTA NAZIM,Delayed
5,42,"Tue, 03 Oct 2023 21:16:49 GMT",23003S,"Tue, 03 Oct 2023 23:17:02 GMT",TS VANCOUVER,Delayed
3,756,"Tue, 03 Oct 2023 21:43:56 GMT",107,"Thu, 05 Oct 2023 06:55:15 GMT",NORFOLK,Delayed
1,535,"Tue, 03 Oct 2023 23:01:22 GMT",0466E,"Thu, 05 Oct 2023 00:01:13 GMT",KOTA DUNIA,Delayed
5,59,"Tue, 03 Oct 2023 23:17:02 GMT",93367S,"Wed, 04 Oct 2023 02:16:20 GMT",BATAMINDO III,Delayed
8,453,"Wed, 04 Oct 2023 00:56:43 GMT",BS029,"Wed, 04 Oct 2023 22:57:01 GMT",MARCOPOLO 262,Delayed
