Vessel Name,Voyage,Local Voyage,Service,ETA Berth,ETD,Terminal
SINAR SOLO,094KIS,1013W,GAF Central Vietnam service (CVS) (UIH1),10/01/2023 17:30,10/02/2023 17:30,PSA TERMINAL
SUMBER JAYA 22,W026FN,QB362,South East Asia Feeder 1 (SEASIA1),10/01/2023 18:25,10/01/2023 19:25,PSA TERMINAL
MTT SIBU,6011YN,J061S,South East Asia Feeder 2 (SEASIA2),10/01/2023 20:00,10/02/2023 10:00,PSA TERMINAL
CAPE FELTON,23S2XE,006W,South East Asia Feeder 9 (SEASIA9),10/01/2023 21:30,10/02/2023 15:30,PSA TERMINAL
CMA CGM MUSCA,0PPG4W1MA,0PPG4W1MA,Pacific East Coast 2 (PEX2),10/02/2023 00:00,10/03/2023 14:00,PSA TERMINAL
CAPRICORN 57,W086FN,MB063,South East Asia Feeder 1 (SEASIA1),10/02/2023 04:00,10/02/2023 05:00,PSA TERMINAL
MARCOPOLO 118,13S55R,323,Feeder of IDTTI to SGSIN (TTIAPL),10/02/2023 04:15,10/02/2023 06:15,PSA TERMINAL
GULF TBN 10,296DJW,,FAS Oman Container Fex Line (GULFFEX),10/02/2023 05:17,10/03/2023 01:17,PSA TERMINAL
EVER URANUS,530D7E,161E,PORT KELANG MUNDRA COLOMBO SERVICE (C3MAPL),10/02/2023 06:59,10/03/2023 06:59,PSA TERMINAL
MARCOPOLO 3022,5188AR,PS029,South East Asia Feeder 49 (SEASIA49),10/02/2023 10:30,10/03/2023 06:30,PSA TERMINAL
SEASPAN LUMACO,1078ER,338N,South East Asia Feeder 67 (SEASIA67),10/02/2023 13:00,10/03/2023 11:00,PSA TERMINAL
SINAR SIGLI,477C3N,013S,GAF Bangladesh Feeder BGDX3 (BGDFX3),10/02/2023 14:45,10/03/2023 16:45,PSA TERMINAL
SINAR SANUR,93356S,028N,Semarang Feeder Service (SRGAPL),10/02/2023 15:52,10/03/2023 15:52,PSA TERMINAL
CAPRICORN 59,W206FN,RB700,South East Asia Feeder 1 (SEASIA1),10/02/2023 15:35,10/02/2023 16:35,PSA TERMINAL
SELATAN DAMAI,C283DS,0031S,SGSIN MYPGU SGSIN Service (PGU1APL),10/02/2023 17:00,10/02/2023 18:00,PSA TERMINAL
INFINITI 5,U4T1YS,H3K01S,South East Asia Feeder 2 (SEASIA2),10/02/2023 19:00,10/02/2023 22:00,PSA TERMINAL
MMSS 2507,09S55R,25071N,Feeder of IDTTI to SGSIN (TTIAPL),10/02/2023 20:43,10/03/2023 21:43,PSA TERMINAL
MARCO POLO 108,5408AR,PS165,South East Asia Feeder 49 (SEASIA49),10/02/2023 22:00,10/03/2023 12:00,PSA TERMINAL
EVER FAR,0AAN1W1MA,1557-016W,Asia South America East Coast 1 (SEAS),10/03/2023 01:00,10/03/2023 17:00,PSA TERMINAL
CMA CGM ARKANSAS,0BDFME1MA,0BDFME1MA,Asia South America East Coast 2 (SEAS2),10/03/2023 01:00,10/03/2023 21:00,PSA TERMINAL
SINAR BANDUNG,417J6N,795S,MALAYSIA FEEDER 3 (MA3APL),10/03/2023 01:00,10/04/2023 01:00,PSA TERMINAL
GANTA BHUM,179W0S,031N,Thailand Indonesia Express (RCLAPL),10/03/2023 04:00,10/03/2023 14:00,PSA TERMINAL
SAWASDEE CHITTAGONG,C4TQ1R,,South Asia Feeder 1 (SASIA1),10/03/2023 05:00,10/03/2023 12:00,PSA TERMINAL
BATAMINDO V,C43J0S,83368S,Batamindo Feeder Service (BATAMAPL),10/03/2023 04:46,10/03/2023 20:45,PSA TERMINAL
MAERSK NACKA,G4S6CN,338S,South East Asia Feeder 31 (SEASIA31),10/03/2023 05:00,10/04/2023 04:00,PSA TERMINAL
SUMBER JAYA 2515,1033QR,S363N,South East Asia Feeder 58 (SEASIA58),10/03/2023 07:00,10/03/2023 14:00,PSA TERMINAL
SINAR BINTAN,483W7N,820S,MSX BKX3 Butterfly service (MSXAPL),10/03/2023 07:00,10/04/2023 05:00,PSA TERMINAL
CMA CGM TARPON,1QY7KN1MA,1QY7KN1NC,China South East Asia Loop 1 (CS1CNC),10/03/2023 08:00,10/04/2023 09:00,PSA TERMINAL
CELANDINE,I1S8JS,,South East Asia Feeder 51 (SEASIA51),10/03/2023 08:00,10/03/2023 14:00,PSA TERMINAL
KOTA LAGU,40SQ5E,338E,South Asia Feeder 5 (SASIA5),10/03/2023 10:00,10/03/2023 12:00,PSA TERMINAL
KOTA NAZIM,0CS5VE1MA,014W,South Philippines Express (SPXCNC),10/03/2023 12:00,10/04/2023 12:00,PSA TERMINAL
